"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","has_prior"
2338627,2477812,1,"186.22(b)(1)","PC","Enhancement",2014-11-07,"Dismissed/Not True","Hispanic","Female",NA,NA,"Request for Warrant",NA,2012-06-11,"N","245(a)(1)","PC","Felony",2014-11-07,"Reduced",0
2338627,2666397,1,"186.22(b)(1)","PC","Enhancement",2014-11-07,"Dismissed/Not True","Hispanic","Male",NA,250000,"Request for Warrant",NA,2012-06-11,"N","245(a)(1)","PC","Felony",2014-11-07,"Reduced",0
2390492,2533147,1,"186.22(b)(1)","PC","Enhancement",2014-05-15,"Dismissed/Not True","Hispanic","Male",2013-01-31,50000,"In Custody",NA,2013-01-31,"N","594(a)/(b)(1)","PC","Felony",2014-05-15,"Guilty",0
2430482,2575805,1,"186.22(b)(1)","PC","Enhancement",2014-02-24,"Dismissed/Not True","Hispanic","Male",2013-08-02,NA,"Arraignment Letter",NA,2013-08-02,"N","21310","PC","Felony",2014-02-24,"Dismissed/Not Guilty",0
2452677,2599274,1,"186.22(b)(1)","PC","Enhancement",2014-10-24,"True","White","Male",NA,40000,"Arraignment Letter",NA,2012-11-27,"N","29800(a)(1)","PC","Felony",2014-10-24,"Guilty",1
2556492,2603322,2,"186.22(b)(1)","PC","Enhancement",2014-04-15,"Dismissed/Not True","Hispanic","Male",2013-11-20,NA,"Appearance Date",NA,2013-12-30,"N","594(a)/(b)(1)","PC","Felony",2014-04-15,"Dismissed/Not Guilty",0
2558995,2605961,1,"186.22(b)(1)","PC","Enhancement",2018-05-01,"True","Black","Male",NA,1e+05,NA,NA,2013-06-20,"N","459-460(b)","PC","Felony",2018-05-01,"Guilty",1
2558995,2605961,2,"186.22(b)(1)","PC","Enhancement",2018-05-01,"Dismissed/Not True","Black","Male",NA,1e+05,NA,NA,2013-11-08,"N","459-460(b)","PC","Felony",2018-05-01,"Dismissed/Not Guilty",1
2558995,2605961,3,"186.22(b)(1)","PC","Enhancement",2018-05-01,"Dismissed/Not True","Black","Male",NA,1e+05,NA,NA,2014-02-21,"N","459-460(b)","PC","Felony",2018-05-01,"Dismissed/Not Guilty",1
2563077,2610295,1,"186.22(b)(1)","PC","Enhancement",2014-06-10,"Dismissed/Not True","Hispanic","Male",2014-01-04,50000,"In Custody",NA,2014-01-04,"N","25850(a)/(c)(3)","PC","Felony",2014-06-10,"Dismissed/Not Guilty",0
2563077,2610295,2,"186.22(b)(1)","PC","Enhancement",2014-06-10,"Dismissed/Not True","Hispanic","Male",2014-01-04,50000,"In Custody",NA,2014-01-04,"N","25850(a)/(c)(4)","PC","Felony",2014-06-10,"Guilty",0
2563077,2610295,3,"186.22(b)(1)","PC","Enhancement",2014-06-10,"Dismissed/Not True","Hispanic","Male",2014-01-04,50000,"In Custody",NA,2014-01-04,"N","25850(a)/(c)(6)","PC","Felony",2014-06-10,"Guilty",0
2563077,2610295,4,"186.22(b)(1)","PC","Enhancement",2014-06-10,"Dismissed/Not True","Hispanic","Male",2014-01-04,50000,"In Custody",NA,2014-01-04,"N","25400(a)(1)/(c)(6)","PC","Felony",2014-06-10,"Guilty",0
2563398,2610623,1,"186.22(b)(1)","PC","Enhancement",2014-09-12,"True","Hispanic","Male",2014-01-06,1e+06,"In Custody",NA,2014-01-06,"N","29800(a)(1)","PC","Felony",2014-09-12,"Guilty",1
2563398,2610624,1,"186.22(b)(1)","PC","Enhancement",2014-01-15,"Dismissed/Not True","Hispanic","Male",2014-01-06,1e+05,"In Custody",NA,2014-01-06,"N","29800(a)(1)","PC","Felony",2014-01-15,"Dismissed/Not Guilty",1
2563832,2611074,1,"186.22(b)(1)","PC","Enhancement",2014-07-31,"True","Hispanic","Male",NA,NA,"In Custody",NA,2014-01-06,"N","29800(a)(1)","PC","Felony",2014-07-31,"Guilty",1
2563832,2611074,2,"186.22(b)(1)","PC","Enhancement",2014-07-31,"True","Hispanic","Male",NA,NA,"In Custody",NA,2014-01-06,"N","626.9(b)","PC","Felony",2014-07-31,"Guilty",1
2563913,2611159,1,"186.22(b)(1)","PC","Enhancement",2014-03-17,"True","Hispanic","Male",2014-01-07,90000,"In Custody",NA,2014-01-07,"N","211/212.5(c)","PC","Felony",2014-03-17,"Guilty",0
2564190,2611440,1,"186.22(b)(1)","PC","Enhancement",2014-05-15,"Dismissed/Not True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2013-07-15,"N","459-460(b)","PC","Felony",2014-05-15,"Guilty",0
2564190,2611440,2,"186.22(b)(1)","PC","Enhancement",2014-05-15,"True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2013-07-15,"N","211/212.5(c)","PC","Felony",2014-05-15,"Guilty",0
2564190,2611440,3,"186.22(b)(1)","PC","Enhancement",2014-05-15,"Dismissed/Not True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2013-08-04,"N","459-460(b)","PC","Felony",2014-05-15,"Guilty",0
2564190,2611440,4,"186.22(b)(1)","PC","Enhancement",2014-05-15,"Dismissed/Not True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2013-08-04,"N","459-460(b)","PC","Felony",2014-05-15,"Dismissed/Not Guilty",0
2564541,2611800,1,"186.22(b)(1)","PC","Enhancement",2014-02-26,"Dismissed/Not True","Hispanic","Male",NA,NA,"Arraignment Letter",NA,2013-12-29,"N","182(a)(1)","PC","Felony",2014-02-26,"Guilty",1
2564541,2611801,1,"186.22(b)(1)","PC","Enhancement",2014-02-24,"True","Hispanic","Male",NA,NA,"Arraignment Letter",NA,2013-12-29,"N","182(a)(1)","PC","Felony",2014-02-24,"Guilty",1
2564692,2611966,1,"186.22(b)(1)","PC","Enhancement",2015-01-30,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2013-12-30,"N","211/212.5(c)","PC","Felony",2015-01-30,"Dismissed/Not Guilty",0
2564692,2611966,2,"186.22(b)(1)","PC","Enhancement",2015-01-30,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2013-12-30,"N","245(a)(2)","PC","Felony",2015-01-30,"Dismissed/Not Guilty",0
2564692,2611966,3,"186.22(b)(1)","PC","Enhancement",2015-01-30,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2013-12-30,"N","211/212.5(c)","PC","Felony",2015-01-30,"Dismissed/Not Guilty",0
2564692,2611966,4,"186.22(b)(1)","PC","Enhancement",2015-01-30,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2013-12-30,"N","211/212.5(c)","PC","Felony",2015-01-30,"Dismissed/Not Guilty",0
2564692,2611966,5,"186.22(b)(1)","PC","Enhancement",2015-01-30,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2013-12-30,"Y","211/212.5(c)","PC","Felony",2015-01-30,"Dismissed/Not Guilty",0
2564692,2611966,6,"186.22(b)(1)","PC","Enhancement",2015-01-30,"Dismissed/Not True","Hispanic","Male",NA,1e+06,"In Custody",NA,2013-12-30,"Y","211/212.5(c)","PC","Felony",2015-01-30,"Dismissed/Not Guilty",0
2564780,2612058,1,"186.22(b)(1)","PC","Enhancement",2015-09-30,"Dismissed/Not True","White","Male",NA,1e+05,"Request for Warrant",NA,2013-12-14,"N","211/212.5(c)","PC","Felony",2015-09-30,"Guilty",0
2564944,2612239,1,"186.22(b)(1)","PC","Enhancement",2016-04-21,"Dismissed/Not True","Hispanic","Male",2014-01-10,NA,"Appearance Date",NA,2014-01-10,"N","11378","HS","Felony",2016-04-21,"Dismissed/Not Guilty",1
2564944,2612239,2,"186.22(b)(1)","PC","Enhancement",2016-04-21,"Dismissed/Not True","Hispanic","Male",2014-01-10,NA,"Appearance Date",NA,2014-01-10,"N","11352(a)","HS","Felony",2016-04-21,"Guilty",1
2564944,2612239,3,"186.22(b)(1)","PC","Enhancement",2016-04-21,"Dismissed/Not True","Hispanic","Male",2014-01-10,NA,"Appearance Date",NA,2014-01-10,"N","11351","HS","Felony",2016-04-21,"Dismissed/Not Guilty",1
2564951,2612246,1,"186.22(b)(1)","PC","Enhancement",2014-02-18,"True","Hispanic","Male",2014-01-09,1e+06,"In Custody",NA,2014-01-09,"N","11379(a)","HS","Felony",2014-02-18,"Guilty",1
2564951,2612246,2,"186.22(b)(1)","PC","Enhancement",2014-02-18,"True","Hispanic","Male",2014-01-09,1e+06,"In Custody",NA,2014-01-09,"N","11378","HS","Felony",2014-02-18,"Guilty",1
2564951,2612247,1,"186.22(b)(1)","PC","Enhancement",2014-02-18,"True","Hispanic","Female",2014-01-09,50000,"In Custody",NA,2014-01-09,"N","11379(a)","HS","Felony",2014-02-18,"Guilty",0
2564951,2612247,2,"186.22(b)(1)","PC","Enhancement",2014-02-18,"Dismissed/Not True","Hispanic","Female",2014-01-09,50000,"In Custody",NA,2014-01-09,"N","11378","HS","Felony",2014-02-18,"Dismissed/Not Guilty",0
2564982,2612282,1,"186.22(b)(1)","PC","Enhancement",2014-01-15,"Dismissed/Not True","Hispanic","Male",NA,150000,"In Custody",NA,2013-12-26,"N","459-460(a)","PC","Felony",2014-01-15,"Dismissed/Not Guilty",0
2564982,2612282,2,"186.22(b)(1)","PC","Enhancement",2014-01-15,"Dismissed/Not True","Hispanic","Male",NA,150000,"In Custody",NA,2013-12-26,"N","459-460(a)","PC","Felony",2014-01-15,"Dismissed/Not Guilty",0
