"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Enhancement Type","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type","Disposition Date_primary","Disposition_primary","...11","has_prior"
3223195,3219351,1,"186.22(b)(1)","PC","Enhancement",2022-02-14,"Dismissed/Not True","Hispanic","Male",2020-06-25,90000,"Request for Warrant",NA,2020-06-25,"N","594(a)/(b)(1)","PC","Felony",2022-02-14,"Guilty",NA,0
3247684,3246321,1,"186.22(b)(1)","PC","Enhancement",2023-11-15,"Dismissed/Not True","Hispanic","Male",NA,NA,"Request for Warrant",NA,2019-11-09,"N","211/212.5(c)","PC","Felony",2023-11-15,"Dismissed/Not Guilty",NA,0
3247684,3246322,1,"186.22(b)(1)","PC","Enhancement",2023-11-15,"Dismissed/Not True","Hispanic","Female",NA,NA,"Request for Warrant",NA,2019-11-09,"N","211/212.5(c)","PC","Felony",2023-11-15,"Dismissed/Not Guilty",NA,0
3250718,3249595,1,"186.22(b)(1)","PC","Enhancement",2021-10-12,"Dismissed/Not True","Hispanic","Male",2020-10-24,50000,"Arraignment Letter",NA,2020-10-24,"N","594(a)/(b)(1)","PC","Felony",2021-10-12,"Dismissed/Not Guilty",NA,0
3250718,3249595,3,"186.22(b)(1)","PC","Enhancement",2021-10-12,"Dismissed/Not True","Hispanic","Male",2020-10-24,50000,"Arraignment Letter",NA,2020-10-24,"N","25850(a)/(c)(6)","PC","Felony",2021-10-12,"Dismissed/Not Guilty",NA,0
3250718,3249596,1,"186.22(b)(1)","PC","Enhancement",2022-04-26,"Dismissed/Not True","Hispanic","Male",2020-10-25,1e+05,"Arraignment Letter",NA,2020-10-24,"N","594(a)/(b)(1)","PC","Felony",2022-04-26,"Reduced",NA,1
3256531,3256011,1,"186.22(b)(1)","PC","Enhancement",2021-07-20,"TRUE","White","Male",2020-11-23,50000,"Appearance Date",NA,2020-11-23,"N","22210","PC","Felony",2021-07-20,"Guilty",NA,0
3256531,3256011,2,"186.22(b)(1)","PC","Enhancement",2021-07-20,"TRUE","White","Male",2020-11-23,50000,"Appearance Date",NA,2020-11-23,"N","22210","PC","Felony",2021-07-20,"Guilty",NA,0
3256531,3256011,3,"186.22(b)(1)","PC","Enhancement",2021-07-20,"TRUE","White","Male",2020-11-23,50000,"Appearance Date",NA,2020-11-23,"N","22210","PC","Felony",2021-07-20,"Guilty",NA,0
3256531,3256011,4,"186.22(b)(1)","PC","Enhancement",2021-07-20,"TRUE","White","Male",2020-11-23,50000,"Appearance Date",NA,2020-11-23,"N","22210","PC","Felony",2021-07-20,"Guilty",NA,0
3256531,3256012,1,"186.22(b)(1)","PC","Enhancement",2024-02-15,"Dismissed/Not True","Hispanic","Male",2020-11-23,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2024-02-15,"Guilty",NA,0
3256531,3256012,2,"186.22(b)(1)","PC","Enhancement",2024-02-15,"Dismissed/Not True","Hispanic","Male",2020-11-23,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2024-02-15,"Dismissed/Not Guilty",NA,0
3256531,3256012,3,"186.22(b)(1)","PC","Enhancement",2024-02-15,"Dismissed/Not True","Hispanic","Male",2020-11-23,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2024-02-15,"Dismissed/Not Guilty",NA,0
3256531,3256012,4,"186.22(b)(1)","PC","Enhancement",2024-02-15,"Dismissed/Not True","Hispanic","Male",2020-11-23,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2024-02-15,"Dismissed/Not Guilty",NA,0
3256531,3256013,1,"186.22(b)(1)","PC","Enhancement",2023-10-04,"Dismissed/Not True","Hispanic","Male",NA,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2023-10-04,"Reduced",NA,0
3256531,3256013,2,"186.22(b)(1)","PC","Enhancement",2023-10-04,"Dismissed/Not True","Hispanic","Male",NA,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2023-10-04,"Dismissed/Not Guilty",NA,0
3256531,3256013,3,"186.22(b)(1)","PC","Enhancement",2023-10-04,"Dismissed/Not True","Hispanic","Male",NA,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2023-10-04,"Dismissed/Not Guilty",NA,0
3256531,3256013,4,"186.22(b)(1)","PC","Enhancement",2023-10-04,"Dismissed/Not True","Hispanic","Male",NA,50000,"Arraignment Letter",NA,2020-11-23,"N","22210","PC","Felony",2023-10-04,"Dismissed/Not Guilty",NA,0
3261481,3261492,1,"186.22(b)(1)","PC","Enhancement",2023-07-10,"Dismissed/Not True","Hispanic","Male",2020-12-15,75000,"Request for Warrant",NA,2020-12-15,"N","29800(a)(1)","PC","Felony",2023-07-10,"Guilty",NA,1
3261481,3261492,2,"186.22(b)(1)","PC","Enhancement",2023-07-10,"Dismissed/Not True","Hispanic","Male",2020-12-15,75000,"Request for Warrant",NA,2020-12-15,"N","29800(a)(1)","PC","Felony",2023-07-10,"Guilty",NA,1
3261481,3261492,3,"186.22(b)(1)","PC","Enhancement",2023-07-10,"Dismissed/Not True","Hispanic","Male",2020-12-15,75000,"Request for Warrant",NA,2020-12-15,"N","29800(a)(1)","PC","Felony",2023-07-10,"Guilty",NA,1
3262032,3262093,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,NA,NA,NA,2020-03-26,"N","11352(a)","HS","Felony",NA,NA,NA,0
3262032,3262093,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,NA,NA,NA,2020-03-26,"N","11351","HS","Felony",NA,NA,NA,0
3262032,3262093,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,NA,NA,NA,2020-03-26,"N","11379(a)","HS","Felony",NA,NA,NA,0
3262032,3262093,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,NA,NA,NA,2020-03-26,"N","11378","HS","Felony",NA,NA,NA,0
3262032,3262093,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,NA,NA,NA,2020-03-26,"N","30305(a)(1)","PC","Felony",NA,NA,NA,0
3262032,3264743,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",NA,NA,NA,NA,2020-03-26,"N","11352(a)","HS","Felony",NA,NA,NA,1
3262032,3264743,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",NA,NA,NA,NA,2020-03-26,"N","11351","HS","Felony",NA,NA,NA,1
3262032,3264743,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",NA,NA,NA,NA,2020-03-26,"N","11379(a)","HS","Felony",NA,NA,NA,1
3262032,3264743,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",NA,NA,NA,NA,2020-03-26,"N","11378","HS","Felony",NA,NA,NA,1
3262032,3264743,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Female",NA,NA,NA,NA,2020-03-26,"N","30305(a)(1)","PC","Felony",NA,NA,NA,1
3263049,3263220,1,"186.22(b)(1)","PC","Enhancement",2022-03-02,"TRUE","Hispanic","Male",NA,NA,"Appearance Date",NA,2020-01-04,"N","29820(b)","PC","Felony",2022-03-02,"Guilty",NA,1
3263830,3264067,1,"186.22(b)(1)","PC","Enhancement",2023-04-18,"TRUE","Hispanic","Male",2020-12-13,90000,"Request for Warrant",NA,2020-12-13,"N","211/212.5(c)","PC","Felony",2023-04-18,"Guilty",NA,0
3265112,3265486,1,"186.22(b)(1)","PC","Enhancement",2021-01-25,"Dismissed/Not True","Hispanic","Male",2021-01-05,NA,"In Custody",NA,2021-01-05,"N","594(a)/(b)(1)","PC","Felony",2021-01-25,"Dismissed/Not Guilty",NA,0
3265112,3265487,1,"186.22(b)(1)","PC","Enhancement",2021-05-10,"Dismissed/Not True","Hispanic","Female",2021-01-05,NA,"In Custody",NA,2021-01-05,"N","594(a)/(b)(1)","PC","Felony",2021-05-10,"Dismissed/Not Guilty",NA,0
3265112,3265488,1,"186.22(b)(1)","PC","Enhancement",2021-01-21,"Dismissed/Not True","Hispanic","Female",2021-01-05,NA,"In Custody",NA,2021-01-05,"N","594(a)/(b)(1)","PC","Felony",2021-01-21,"Dismissed/Not Guilty",NA,0
3265316,3265723,1,"186.22(b)(1)","PC","Enhancement",2021-02-09,"Dismissed/Not True","Hispanic","Male",2021-01-06,1e+06,"In Custody",NA,2021-01-06,"N","21310","PC","Felony",2021-02-09,"Guilty",NA,1
3265316,3265723,2,"186.22(b)(1)","PC","Enhancement",2021-02-09,"Dismissed/Not True","Hispanic","Male",2021-01-06,1e+06,"In Custody",NA,2021-01-06,"N","21310","PC","Felony",2021-02-09,"Guilty",NA,1
3265408,3265822,1,"186.22(b)(1)","PC","Enhancement",2021-01-25,"Dismissed/Not True","Hispanic","Male",2021-01-07,1e+06,"In Custody",NA,2021-01-07,"N","29800(a)(1)","PC","Felony",2021-01-25,"Dismissed/Not Guilty",NA,1
3265408,3265822,2,"186.22(b)(1)","PC","Enhancement",2021-01-25,"Dismissed/Not True","Hispanic","Male",2021-01-07,1e+06,"In Custody",NA,2021-01-07,"N","25850(a)/(c)(3)","PC","Felony",2021-01-25,"Dismissed/Not Guilty",NA,1
3265816,3266171,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2021-01-07,1e+06,"In Custody",NA,2021-01-07,"N","11351","HS","Felony",NA,NA,NA,1
3265816,3266171,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2021-01-07,1e+06,"In Custody",NA,2021-01-07,"N","11352(a)","HS","Felony",NA,NA,NA,1
3265816,3266171,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2021-01-07,1e+06,"In Custody",NA,2021-01-07,"N","11378","HS","Felony",NA,NA,NA,1
3265816,3266171,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2021-01-07,1e+06,"In Custody",NA,2021-01-07,"N","11379(a)","HS","Felony",NA,NA,NA,1
3265862,3266329,1,"186.22(b)(1)","PC","Enhancement",2022-03-22,"TRUE","Hispanic","Male",2021-01-09,1e+06,"In Custody",NA,2021-01-09,"N","29800(a)(1)","PC","Felony",2022-03-22,"Guilty",NA,1
3265862,3266330,1,"186.22(b)(1)","PC","Enhancement",2021-06-17,"Dismissed/Not True","Hispanic","Male",2021-01-09,50000,"In Custody",NA,2021-01-09,"N","29800(a)(1)","PC","Felony",2021-06-17,"Guilty",NA,0
3265892,3266360,1,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Male",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","11370.1(a)","HS","Felony",2021-07-22,"Guilty",NA,1
3265892,3266360,2,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Male",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","11370.1(a)","HS","Felony",2021-07-22,"Guilty",NA,1
3265892,3266360,3,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Male",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","11378","HS","Felony",2021-07-22,"Guilty",NA,1
3265892,3266360,4,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Male",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","11351","HS","Felony",2021-07-22,"Guilty",NA,1
3265892,3266360,5,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Male",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","29800(a)(1)","PC","Felony",2021-07-22,"Guilty",NA,1
3265892,3266360,7,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Male",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","30305(a)(1)","PC","Felony",2021-07-22,"Guilty",NA,1
3265892,3266361,1,"186.22(b)(1)","PC","Enhancement",2021-07-22,"TRUE","Hispanic","Female",2021-01-09,NA,"In Custody",NA,2021-01-09,"N","11370.1(a)","HS","Felony",2021-07-22,"Guilty",NA,0
