"Case ID Number","Defendant Number","Count","Offense Code_enhancement","Section Code_enhancement","Crime Type_enhancement","Disposition Date_enhancement","Disposition_enhancement","Race","Gender","Date of Arrest","Bail Amount","Appearance Status","Sealed Case","Date of Violation","Attempt","Offense Code_primary","Section Code_primary","Crime Type_primary","Disposition Date_primary","Disposition_primary","...11","has_prior"
2984221,2957818,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2017-10-07,NA,"In Custody",NA,2017-10-04,"N","187(a)","PC","Felony",NA,NA,NA,0
2984221,2957818,1,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2017-10-07,NA,"In Custody",NA,2017-10-04,"N","187(a)","PC","Felony",NA,NA,NA,0
2984221,2957818,2,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2017-10-07,NA,"In Custody",NA,2017-10-04,"N","246","PC","Felony",NA,NA,NA,0
2984221,2957818,3,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2017-10-07,NA,"In Custody",NA,2017-10-04,"N","136.1(c)(1)","PC","Felony",NA,NA,NA,0
2984221,2957818,3,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2017-10-07,NA,"In Custody",NA,2017-10-04,"N","136.1(c)(1)","PC","Felony",NA,NA,NA,0
2984221,2957818,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2017-10-07,NA,"In Custody",NA,2017-10-04,"N","29800(a)(1)","PC","Felony",NA,NA,NA,0
3423098,3438221,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,1e+05,"In Custody",NA,2019-12-20,"N","245(a)(3)","PC","Felony",NA,NA,NA,0
3486551,3507380,1,"186.22(b)(1)","PC","Enhancement",2024-06-26,"True","White","Female",NA,NA,"Request for Warrant",NA,2023-06-24,"N","246.3(a)","PC","Felony",2024-06-26,"Guilty",NA,0
3486551,3507380,2,"186.22(b)(1)","PC","Enhancement",2024-06-26,"True","White","Female",NA,NA,"Request for Warrant",NA,2023-06-24,"N","25850(a)/(c)(6)","PC","Felony",2024-06-26,"Guilty",NA,0
3486551,3507380,3,"186.22(b)(1)","PC","Enhancement",2024-06-26,"True","White","Female",NA,NA,"Request for Warrant",NA,2023-06-24,"N","594(a)/(b)(2)(A)","PC","Misdemeanor",2024-06-26,"Guilty",NA,0
3505191,3527836,1,"186.22(b)(1)","PC","Enhancement",2024-10-15,"Dismissed/Not True","Hispanic","Male",NA,40000,"Walk Thru Warrant",NA,2023-11-03,"N","594(a)/(b)(1)","PC","Felony",2024-10-15,"Reduced",NA,0
3505191,3527837,1,"186.22(b)(1)","PC","Enhancement",2024-10-15,"Dismissed/Not True","Hispanic","Male",NA,40000,"Walk Thru Warrant",NA,2023-11-03,"N","594(a)/(b)(1)","PC","Felony",2024-10-15,"Reduced",NA,0
3507108,3529917,1,"186.22(b)(1)","PC","Enhancement",2025-06-12,"True","Hispanic","Male",2024-01-04,5e+05,"Arraignment Letter",NA,2023-08-20,"N","10851(a)","VC","Felony",2025-06-12,"Guilty",NA,1
3507108,3529917,2,"186.22(b)(1)","PC","Enhancement",2025-06-12,"True","Hispanic","Male",2024-01-04,5e+05,"Arraignment Letter",NA,2023-08-20,"N","246.3(a)","PC","Felony",2025-06-12,"Guilty",NA,1
3507108,3529917,3,"186.22(b)(1)","PC","Enhancement",2025-06-12,"True","Hispanic","Male",2024-01-04,5e+05,"Arraignment Letter",NA,2023-08-20,"N","29800(a)(1)","PC","Felony",2025-06-12,"Guilty",NA,1
3507969,3530846,1,"186.22(b)(1)","PC","Enhancement",2024-12-03,"True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2023-12-29,"N","29800(a)(1)","PC","Felony",2024-12-03,"Guilty",NA,1
3507969,3530846,2,"186.22(b)(1)","PC","Enhancement",2024-12-03,"Dismissed/Not True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2023-12-29,"N","30305(a)(1)","PC","Felony",2024-12-03,"Dismissed/Not Guilty",NA,1
3507969,3530846,3,"186.22(b)(1)","PC","Enhancement",2024-12-03,"Dismissed/Not True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2024-01-08,"N","29800(a)(1)","PC","Felony",2024-12-03,"Dismissed/Not Guilty",NA,1
3507969,3530846,4,"186.22(b)(1)","PC","Enhancement",2024-12-03,"True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2024-01-08,"N","30305(a)(1)","PC","Felony",2024-12-03,"Guilty",NA,1
3507969,3530846,5,"186.22(b)(1)","PC","Enhancement",2024-12-03,"True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2024-01-08,"N","30605(a)","PC","Felony",2024-12-03,"Guilty",NA,1
3507969,3530846,8,"186.22(b)(1)","PC","Enhancement",2024-12-03,"True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2024-01-09,"N","29800(a)(1)","PC","Felony",2024-12-03,"Guilty",NA,1
3507969,3530846,9,"186.22(b)(1)","PC","Enhancement",2024-12-03,"Dismissed/Not True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2024-01-09,"N","30305(a)(1)","PC","Felony",2024-12-03,"Dismissed/Not Guilty",NA,1
3507969,3530846,10,"186.22(b)(1)","PC","Enhancement",2024-12-03,"Dismissed/Not True","Hispanic","Male",2024-01-09,1e+05,"Arraignment Letter",NA,2023-12-20,"N","594(a)/(b)(1)","PC","Felony",2024-12-03,"Dismissed/Not Guilty",NA,1
3513381,3536676,1,"186.22(b)(1)","PC","Enhancement",2024-08-19,"True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-08-17,"N","25850(a)/(c)(6)","PC","Felony",2024-08-19,"Guilty",NA,0
3513381,3536676,2,"186.22(b)(1)","PC","Enhancement",2024-08-19,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-08-17,"N","186.22(a)","PC","Felony",2024-08-19,"Guilty",NA,0
3513387,3536685,1,"186.22(b)(1)","PC","Enhancement",2024-04-23,"Dismissed/Not True","Hispanic","Male",NA,NA,"Walk Thru Warrant",NA,2023-07-21,"N","245(a)(1)","PC","Felony",2024-04-23,"Dismissed/Not Guilty",NA,0
3518049,3541744,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-02-21,1e+06,"In Custody",NA,2024-02-20,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3518049,3541744,2,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-02-21,1e+06,"In Custody",NA,2024-02-20,"N","245(b)","PC","Felony",NA,NA,NA,0
3518049,3541744,3,"186.22(b)(4)","PC","Other",NA,NA,"Hispanic","Male",2024-02-21,1e+06,"In Custody",NA,2024-02-20,"N","246","PC","Felony",NA,NA,NA,0
3518049,3541744,4,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-02-21,1e+06,"In Custody",NA,2024-02-20,"N","664(a)-187(a)","PC","Felony",NA,NA,NA,0
3518049,3541744,5,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-02-21,1e+06,"In Custody",NA,2024-02-20,"N","245(b)","PC","Felony",NA,NA,NA,0
3518732,3542483,1,"186.22(b)(1)","PC","Enhancement",2024-07-11,"Dismissed/Not True","Hispanic","Male",2024-02-25,1e+06,"In Custody",NA,2024-02-25,"N","29800(a)(1)","PC","Felony",2024-07-11,"Dismissed/Not Guilty",NA,1
3518732,3542483,2,"186.22(b)(1)","PC","Enhancement",2024-07-11,"Dismissed/Not True","Hispanic","Male",2024-02-25,1e+06,"In Custody",NA,2024-02-25,"N","25850(a)/(c)(1)","PC","Felony",2024-07-11,"Dismissed/Not Guilty",NA,1
3518732,3542483,3,"186.22(b)(1)","PC","Enhancement",2024-07-11,"Dismissed/Not True","Hispanic","Male",2024-02-25,1e+06,"In Custody",NA,2024-02-25,"N","30305(a)(1)","PC","Felony",2024-07-11,"Dismissed/Not Guilty",NA,1
3519156,3542953,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",NA,NA,"Arraignment Letter",NA,2024-02-03,"N","245(a)(1)","PC","Felony",NA,NA,NA,0
3519156,3542954,1,"186.22(b)(1)","PC","Enhancement",2024-11-21,"Dismissed/Not True","Hispanic","Male",NA,NA,"Arraignment Letter",NA,2024-02-03,"N","245(a)(1)","PC","Felony",2024-11-21,"Dismissed/Not Guilty",NA,1
3519500,3543326,1,"186.22(b)(1)","PC","Enhancement",NA,NA,"Hispanic","Male",2024-02-28,150000,"Request for Warrant",NA,2024-02-28,"N","245(a)(1)","PC","Felony",NA,NA,NA,0
